lighting_level,crowd_level,distance_to_main_road_m,shops_open_at_night,police_station_within_1km,cctv_present,hour_of_day,is_weekend,area_type,near_metro_or_bus,past_incidents_level,group_travel,area_crime_risk,audit_score_mean,dist_to_metro_m,dist_to_bus_m,dist_to_hospital_m,dist_to_police_m,safety_label
0,1,1252,0,0,0,1,0,2,0,2,0,1,1.82,3459,1987,3489,2032,0
0,0,1255,0,1,0,1,0,0,1,2,1,2,1.47,1871,1859,2816,2376,0
0,1,1392,0,0,1,1,1,1,0,2,0,1,1.93,2952,2287,3625,4321,0
0,0,577,1,0,0,2,0,1,0,1,0,1,1.33,1813,1678,4477,3657,0
0,1,636,0,0,0,2,1,1,0,2,1,1,1.11,1479,2434,6618,2013,0
1,1,755,1,0,0,2,0,1,1,2,0,2,1.03,2886,2552,4719,2780,0
1,0,925,0,0,0,2,1,0,0,2,0,1,1.08,3478,1051,4742,3691,0
0,0,972,0,0,0,2,1,1,1,2,0,1,1.28,3867,1213,2817,2525,0
0,0,1016,0,0,0,2,0,1,1,2,0,2,1.07,3998,1767,4466,1980,0
0,0,1303,0,0,0,2,1,1,0,2,0,2,2.03,4098,1073,4524,3911,0
0,0,610,0,0,0,3,1,1,0,1,0,1,2.2,1691,2307,4112,2883,0
1,0,640,0,0,1,3,0,2,0,2,0,1,1.92,3715,1970,4791,2868,0
0,0,674,0,0,0,3,0,2,1,2,0,2,1.83,4115,955,2887,4432,0
1,0,954,0,0,0,3,1,0,1,2,0,2,2.02,3099,2241,3011,5214,0
0,0,1001,0,0,0,3,1,2,1,2,0,2,2.2,3082,989,4806,4850,0
0,1,1070,0,0,0,3,1,2,0,2,0,2,1.08,1806,2462,3902,4362,0
0,1,1102,1,0,0,3,0,0,1,2,0,1,1.52,3663,1203,5720,2322,0
0,0,1278,1,0,0,3,1,0,0,2,0,2,1.5,2808,2136,4366,5105,0
1,0,1359,0,0,0,3,0,0,0,1,1,2,1.66,1773,1074,2963,3568,0
0,0,491,0,0,0,4,1,0,0,2,0,1,1.49,2765,1557,3056,5313,0
0,0,567,0,1,0,4,1,0,1,1,0,2,1.55,2670,2427,4981,2707,0
1,0,693,0,0,0,4,0,1,1,1,0,2,1.59,3312,2393,2643,4558,0
0,1,694,0,0,0,4,1,2,1,1,0,2,1.14,3602,1336,6344,2886,0
0,0,798,0,0,1,4,0,2,0,1,0,1,1.21,3705,1522,2897,2816,0
0,0,803,0,0,0,4,1,0,0,2,0,2,1.3,1962,2465,4293,2985,0
0,0,838,0,0,0,4,0,0,0,1,0,2,1.78,3516,1291,2901,2788,0
0,1,858,0,1,0,4,0,1,1,1,0,2,1.83,2976,1681,6034,3967,0
0,1,930,1,0,0,4,1,1,1,2,0,1,1.28,3876,1183,4248,2013,0
0,0,1226,0,0,0,4,0,0,0,2,0,2,1.66,3574,1604,5685,4855,0
0,0,520,1,0,0,5,1,1,1,2,0,2,1.42,4117,1112,3300,2883,0
0,1,530,0,0,0,5,0,0,0,2,0,2,1.59,2267,2004,3847,4720,0
1,0,601,0,0,0,5,1,0,0,1,0,2,2.11,1868,2240,6716,4752,0
0,0,608,0,0,0,5,1,0,0,1,0,2,2.07,3946,2156,6760,1907,0
0,0,648,0,0,0,5,0,0,1,2,0,1,2.22,3410,1110,2300,4151,0
0,0,731,0,0,0,5,0,1,0,1,0,2,1.79,4061,2336,6664,3518,0
0,0,803,0,0,0,5,0,0,0,1,0,1,2.3,3605,2306,3814,3291,0
0,0,957,0,1,1,5,0,1,0,2,1,2,1.72,1404,2246,6644,3692,0
0,0,1022,0,1,1,5,1,2,0,2,0,2,1.36,2412,2205,4471,4936,0
0,0,1141,0,0,1,5,1,2,0,1,1,2,1.42,3072,1138,3345,1985,0
0,0,1142,0,1,1,5,1,0,0,1,0,2,2.05,2473,2097,5321,5168,0
0,0,1258,0,0,0,5,1,0,1,2,1,2,1.47,3786,2259,3358,3232,0
0,1,1281,0,0,1,5,1,1,0,2,1,2,2.28,1610,1489,4759,3240,0
1,0,583,0,0,0,21,0,0,1,1,0,1,1.07,3124,1977,3131,4854,0
0,0,661,1,0,0,21,1,1,1,1,0,2,2.17,3604,2430,6673,5076,0
0,0,820,0,0,0,21,0,0,0,1,1,2,1.04,3980,2146,4160,4707,0
0,0,820,0,0,0,21,1,1,1,1,0,2,1.96,3408,2358,5833,2101,0
0,0,1035,0,0,0,21,1,0,0,2,0,1,1.85,3434,1486,4085,4286,0
1,0,1115,0,1,0,21,0,0,0,1,0,2,1.79,2292,1852,4299,4941,0
0,0,1150,0,0,1,21,1,1,0,1,0,1,1.59,3407,1116,5751,3283,0
0,0,474,0,0,0,22,1,0,0,2,1,2,1.04,2469,1265,6956,2887,0
0,0,513,0,1,1,22,0,0,1,2,0,2,1.51,2558,1693,5548,4972,0
0,0,611,0,0,0,22,0,0,1,1,0,2,1.59,3886,1805,5592,2918,0
0,0,645,1,0,1,22,1,1,1,2,0,1,1.0,2622,2102,6950,4503,0
0,0,690,0,1,1,22,1,2,1,2,0,1,1.42,1518,994,4857,5061,0
0,0,699,0,0,1,22,1,0,1,2,0,2,2.28,1897,1834,3292,5082,0
0,0,829,0,0,0,22,0,1,0,2,0,2,1.96,2299,2302,4856,5252,0
0,0,862,1,0,0,22,0,2,1,2,0,1,1.94,3756,2102,2369,4932,0
0,0,1015,0,0,1,22,1,2,0,1,1,1,1.99,3101,1888,6068,2798,0
0,0,1273,0,0,0,22,1,2,1,1,1,2,1.64,2637,1307,5351,5295,0
0,0,1301,0,0,1,22,1,1,0,2,1,2,2.13,4069,1285,4833,4278,0
1,0,644,0,0,0,23,0,2,0,2,0,2,2.03,1769,1504,4876,4861,0
0,0,835,0,0,0,23,1,0,0,2,1,2,2.05,3238,1379,6574,2779,0
0,1,840,0,0,1,23,1,2,0,2,0,1,2.18,1808,1977,5943,1862,0
0,0,891,0,0,0,23,0,0,0,2,0,2,1.82,2351,1844,4280,3682,0
0,0,1061,1,0,0,23,0,0,1,1,0,2,1.46,2004,2515,2223,2935,0
1,0,196,1,1,1,6,1,0,0,0,0,1,3.51,663,1208,4180,948,1
1,1,305,1,0,1,6,1,2,0,1,1,1,2.73,1222,853,2084,1386,1
1,1,536,0,1,0,6,0,1,1,1,1,0,2.31,850,419,2947,2477,1
2,0,606,1,1,1,6,0,1,0,1,1,1,3.36,2020,364,4320,1926,1
2,1,203,0,1,0,7,0,1,1,0,1,1,3.2,770,868,1551,1822,1
2,2,209,0,0,1,7,1,2,0,1,0,0,3.22,1936,273,1571,2733,1
1,1,260,0,1,1,7,0,1,1,1,1,1,3.56,1031,1335,1449,1603,1
1,1,267,1,0,0,7,0,2,1,1,1,1,2.34,1784,1367,2086,1937,1
1,1,303,1,1,0,7,0,1,1,1,1,1,3.57,822,1110,2433,1341,1
1,1,313,1,1,1,7,1,1,0,1,1,0,3.42,2018,548,966,1768,1
1,1,331,1,1,0,7,0,2,0,1,1,1,3.04,931,825,3344,1383,1
2,2,394,0,1,0,7,0,2,1,0,0,1,3.14,1824,1068,3982,2058,1
1,1,404,0,0,1,7,0,2,1,1,1,1,3.51,1189,606,4150,900,1
0,2,409,1,1,0,7,1,1,1,1,1,2,2.63,1696,1051,2788,1690,1
2,1,418,0,0,1,7,1,1,1,1,0,0,3.46,1028,994,2505,1451,1
2,0,438,1,1,0,7,1,0,1,1,0,0,2.74,1104,1412,3662,1491,1
1,1,495,1,0,1,7,0,2,1,1,1,1,2.81,1493,385,2170,1288,1
1,1,501,1,1,1,7,0,1,0,1,1,1,3.6,1766,788,2327,1150,1
1,1,588,1,0,1,7,1,2,0,1,1,0,2.73,1105,877,2726,2445,1
1,1,602,1,1,1,7,0,1,0,0,0,1,3.54,723,587,2030,1158,1
1,2,639,1,1,1,7,1,2,0,0,0,1,3.52,513,784,2471,1664,1
1,1,184,1,0,1,8,1,0,0,1,0,0,2.78,1112,530,2467,1245,1
1,1,230,0,1,0,8,0,2,1,1,1,1,2.41,1473,536,3982,1633,1
2,1,250,1,0,0,8,1,0,0,1,1,0,2.78,837,1148,1897,866,1
1,1,265,0,1,0,8,0,0,0,0,1,1,2.87,1257,627,1740,842,1
1,1,287,0,0,1,8,1,1,1,1,1,1,2.32,1778,1379,2584,1249,1
2,1,304,0,1,0,8,1,1,1,1,0,0,2.66,1113,1241,4105,1015,1
1,1,353,0,1,1,8,0,0,1,0,0,0,2.56,585,896,2170,2331,1
1,1,368,1,1,1,8,0,2,0,1,1,1,2.57,926,846,4304,1832,1
1,1,428,0,1,1,8,0,0,0,1,1,1,3.09,1736,903,3907,1118,1
1,1,484,1,1,1,8,0,0,0,1,1,1,3.41,1793,488,3686,1546,1
1,1,494,1,0,1,8,1,2,1,1,1,1,2.3,919,409,1443,1157,1
1,1,500,1,1,1,8,0,1,1,1,0,1,2.42,1238,725,3091,1385,1
2,1,581,1,1,0,8,0,2,1,0,1,1,2.43,1411,610,2161,2362,1
2,1,640,1,0,1,8,1,1,0,1,1,1,2.81,2172,256,3954,1592,1
2,1,389,1,0,1,17,1,2,0,2,1,0,3.59,1481,1442,2541,2775,1
2,2,484,0,1,1,17,1,1,0,2,1,1,3.2,1505,1429,4102,1692,1
1,1,507,1,1,1,17,0,2,0,1,1,1,2.41,2192,866,2324,2415,1
2,1,520,1,0,1,17,1,0,1,1,1,1,3.05,1659,1243,4128,2107,1
1,2,528,1,1,0,17,1,2,1,1,1,1,3.22,1913,1251,2198,2665,1
1,1,224,1,0,1,18,0,2,1,1,1,1,2.37,724,926,3838,1331,1
1,1,260,1,1,0,18,1,1,0,1,1,1,2.99,777,893,3560,1687,1
1,1,299,1,0,0,18,0,2,1,1,1,1,3.39,872,349,4030,1698,1
1,1,321,1,1,1,18,0,2,1,1,0,1,3.52,1057,742,1744,1482,1
1,2,322,1,0,1,18,1,0,0,1,0,1,2.78,859,785,4105,1667,1
1,1,338,1,0,1,18,0,1,1,1,1,1,2.42,714,1160,2374,2022,1
1,1,361,0,1,1,18,1,1,0,1,1,1,2.47,1163,363,4305,2141,1
1,1,404,1,1,0,18,0,0,1,1,0,1,3.28,1437,1198,3658,2047,1
0,2,430,0,1,1,18,0,2,1,2,0,1,2.86,955,1461,1510,720,1
0,2,435,0,0,0,18,1,0,1,1,1,0,3.17,1572,988,1177,2778,1
1,1,435,1,1,0,18,0,1,1,1,0,1,3.22,1338,1458,1247,1920,1
1,1,460,1,1,1,18,0,2,0,1,1,1,2.76,1795,1134,1660,917,1
2,1,474,0,0,1,18,1,0,0,1,1,1,2.36,1317,787,1248,2332,1
2,1,495,0,0,0,18,0,0,1,0,1,1,2.46,988,1109,3517,2572,1
1,2,518,0,1,1,18,0,2,0,1,1,1,2.36,1205,1030,4118,2005,1
1,1,223,1,1,1,19,1,0,1,1,1,1,2.87,786,560,2591,1887,1
1,1,268,1,1,1,19,0,2,1,1,0,1,3.3,1767,1375,2992,1326,1
2,1,309,0,0,1,19,0,2,1,1,1,1,2.82,1400,1041,2288,1465,1
1,1,320,1,0,0,19,0,1,1,1,1,1,3.34,998,697,4020,1206,1
1,1,366,0,0,1,19,1,0,1,1,1,1,3.59,1649,1429,2206,2193,1
2,0,367,1,0,1,19,0,2,0,1,0,0,2.74,1605,482,3558,2659,1
1,1,395,0,1,1,19,0,1,1,1,0,1,2.78,855,657,3367,2035,1
1,1,422,1,0,1,19,0,2,1,2,0,1,2.45,550,1072,3429,1602,1
1,1,437,1,1,1,19,0,2,1,1,1,1,3.08,1131,832,2761,1758,1
1,1,496,1,0,0,19,0,0,1,1,1,1,2.65,1257,411,2428,2023,1
2,1,190,1,1,0,20,1,1,0,1,0,1,3.25,1786,462,4060,2061,1
1,1,236,1,0,1,20,1,1,0,1,1,1,2.67,1729,411,2318,1611,1
1,1,285,1,1,1,20,1,0,0,1,1,2,3.41,627,1006,3148,917,1
1,1,370,0,1,1,20,0,0,1,1,1,1,3.16,1703,670,3020,1288,1
2,1,405,0,1,0,20,0,2,1,0,1,1,3.14,1404,780,1323,842,1
2,1,406,1,0,1,20,0,2,0,0,1,1,3.43,1186,385,3319,2239,1
1,1,422,1,1,1,20,0,0,0,1,0,1,2.54,1255,1453,3866,1811,1
1,1,493,1,0,0,20,1,1,1,1,1,1,3.03,1334,617,4383,1611,1
1,1,503,0,1,1,20,0,0,1,1,1,1,3.57,1028,898,1440,1041,1
1,1,514,1,1,0,20,0,1,1,1,1,1,3.53,1212,1106,1916,1806,1
2,1,549,0,0,0,20,1,1,1,0,1,1,3.23,913,1181,1269,1724,1
1,1,219,1,1,0,21,0,2,1,0,1,0,2.37,2078,934,2325,2478,1
1,2,252,1,1,1,21,0,2,1,1,0,1,3.21,1153,387,2129,883,1
2,1,309,1,1,0,21,1,1,1,1,0,1,2.38,1295,931,1146,1757,1
1,1,510,1,1,1,21,1,2,0,2,1,0,2.64,1491,1011,2080,893,1
2,1,185,0,1,0,22,0,1,1,1,0,1,2.33,714,855,2603,1051,1
1,2,255,1,1,0,22,1,0,0,1,1,1,3.53,1155,569,917,2778,1
1,1,262,1,0,1,22,1,0,1,0,1,0,2.69,1592,441,2958,1390,1
1,1,413,1,0,1,22,1,2,1,1,0,0,3.09,1683,1270,4368,1669,1
1,1,34,1,1,1,7,1,2,1,0,1,1,4.71,381,70,339,422,2
2,2,46,1,1,1,7,0,2,0,1,1,0,4.54,431,274,597,315,2
2,2,149,0,1,1,7,1,2,1,0,1,0,4.39,798,457,775,332,2
1,2,197,0,1,0,7,0,1,1,1,1,0,4.15,609,232,665,1101,2
2,2,223,1,1,1,7,0,0,0,0,1,1,4.07,816,419,1658,553,2
2,2,52,0,1,1,8,0,2,0,1,1,1,4.3,441,389,1997,473,2
2,2,53,1,0,1,8,1,2,1,0,1,1,4.45,658,64,692,160,2
2,2,111,1,1,1,8,0,2,1,1,1,0,4.9,274,334,1840,846,2
2,2,141,1,1,1,8,0,0,1,0,1,0,4.15,158,63,922,1128,2
2,2,143,1,0,1,8,1,0,0,0,1,0,4.01,286,273,1462,660,2
1,1,165,1,1,1,8,0,2,1,1,1,0,4.49,635,351,2187,196,2
1,2,204,1,1,0,8,1,1,1,0,1,1,3.76,698,468,754,1042,2
2,2,218,0,1,1,8,1,2,1,0,1,0,4.87,799,263,2245,769,2
2,1,220,1,1,1,8,1,0,1,0,1,0,4.26,281,468,1350,246,2
2,1,62,1,1,1,9,0,0,1,1,1,0,4.1,166,286,2211,1101,2
2,2,88,1,0,1,9,0,1,1,0,1,1,4.66,714,493,933,351,2
2,2,120,0,1,1,9,0,1,1,1,1,1,4.09,513,179,1206,272,2
1,1,133,1,1,1,9,0,2,1,0,1,0,4.02,670,398,811,977,2
2,2,136,1,0,1,9,0,0,1,1,1,1,4.43,231,283,409,1150,2
2,1,169,1,0,1,9,0,0,1,0,1,0,4.49,552,444,2595,853,2
2,2,248,1,0,1,9,1,0,1,0,0,0,4.57,797,316,1336,696,2
2,2,65,1,0,1,10,0,1,1,0,1,0,4.22,489,246,2007,1097,2
2,2,100,1,1,1,10,0,2,1,0,1,1,4.48,232,297,2472,780,2
2,2,149,1,1,1,10,0,1,1,0,1,0,3.84,559,421,322,330,2
2,2,185,1,1,1,10,0,1,1,0,0,0,4.32,436,60,2005,691,2
1,1,223,0,0,1,10,0,0,1,0,1,0,4.4,126,51,514,524,2
2,2,31,1,0,1,11,1,1,1,0,0,0,4.06,687,164,2150,874,2
2,2,34,1,1,1,11,0,2,1,0,1,0,4.73,62,165,438,1086,2
2,2,96,1,1,1,11,1,2,0,0,1,0,4.28,578,484,1781,235,2
2,2,115,1,1,1,11,0,1,0,0,1,1,4.34,691,73,1113,556,2
2,2,151,0,0,1,11,0,0,1,0,0,1,4.89,612,276,2501,269,2
2,2,187,0,1,1,11,1,2,1,0,0,1,4.26,699,338,541,1087,2
2,2,235,1,1,1,11,1,2,1,0,0,0,4.03,721,404,1473,505,2
2,1,45,0,1,1,12,0,2,1,0,0,0,4.28,386,355,1502,432,2
2,1,120,1,1,0,12,0,1,1,0,1,0,3.73,224,366,1445,287,2
2,2,121,1,0,0,12,1,1,1,1,1,0,3.9,314,423,620,703,2
1,2,178,1,1,0,12,0,0,1,0,1,0,4.65,368,183,2263,321,2
2,2,217,1,0,0,12,1,1,1,1,0,0,4.02,172,86,895,743,2
2,1,129,1,1,1,13,1,2,1,0,0,0,4.37,233,229,2540,1110,2
2,2,163,1,1,1,13,1,2,1,0,0,0,3.76,107,142,1343,449,2
2,2,198,1,1,1,13,1,2,1,0,1,0,4.0,685,484,2064,581,2
1,2,250,0,1,1,13,1,2,1,0,1,0,4.2,447,417,394,508,2
2,2,29,1,1,1,14,0,1,1,0,1,0,4.26,572,86,1875,865,2
2,2,167,1,1,1,14,1,1,0,0,1,0,4.44,824,421,436,268,2
2,1,204,1,1,1,14,0,2,1,1,1,0,4.19,214,60,2495,1136,2
2,2,223,0,1,1,14,1,1,1,0,0,0,4.42,80,498,1400,239,2
1,2,227,1,1,1,14,0,1,0,0,1,0,4.86,775,383,1625,1034,2
2,2,230,1,0,1,14,1,0,1,0,1,1,3.92,725,301,1333,463,2
1,2,96,1,1,1,15,1,1,1,0,1,0,4.6,218,455,1902,159,2
2,1,99,1,1,1,15,0,0,1,0,0,0,3.76,419,400,1065,681,2
1,2,154,1,0,0,15,0,1,1,0,0,0,4.1,419,190,1144,1092,2
2,2,216,1,1,1,15,1,1,0,0,0,0,4.32,434,375,1091,766,2
2,2,90,1,1,0,16,0,2,1,1,1,0,4.16,479,142,2403,630,2
2,2,118,0,1,1,16,0,0,1,0,1,0,3.9,819,291,1563,613,2
2,1,160,0,0,1,16,1,2,1,0,1,0,4.69,278,472,2111,799,2
2,1,233,1,1,0,16,0,0,1,1,0,0,4.81,579,247,2558,158,2
2,2,245,1,1,1,16,0,1,1,1,1,0,4.2,766,493,2348,732,2
2,2,36,1,1,1,17,0,2,1,0,1,1,3.81,727,412,1268,1106,2
2,1,64,1,1,1,17,1,1,1,1,1,0,3.87,712,127,1596,852,2
2,2,186,0,1,1,17,0,2,1,0,1,1,4.16,603,410,1408,170,2
2,2,195,1,1,1,17,1,1,1,1,1,0,3.82,181,419,1309,494,2
1,2,197,1,1,1,17,0,1,1,0,0,0,4.54,636,240,2574,186,2
1,1,238,1,1,1,17,0,2,1,0,0,1,4.62,59,282,791,474,2
2,2,30,1,1,0,18,0,2,1,0,0,1,3.91,464,477,2102,631,2
2,2,46,1,1,1,18,1,2,1,0,0,0,4.1,139,77,472,484,2
2,2,64,0,1,1,18,1,2,0,0,1,0,4.38,242,468,2266,752,2
2,2,65,1,1,1,18,1,1,1,1,1,1,4.39,172,297,465,487,2
2,1,84,1,1,1,18,1,1,1,0,0,0,4.51,688,243,669,135,2
2,2,230,1,1,1,18,0,0,1,0,1,0,4.8,62,442,2390,979,2
1,2,44,0,1,1,19,0,1,1,1,1,0,4.74,536,333,1215,1095,2
2,2,57,1,1,1,19,0,1,1,0,1,0,3.97,712,327,1842,606,2
2,1,71,1,1,1,19,0,0,0,0,0,1,4.07,155,236,2311,746,2
2,2,87,1,0,1,19,1,1,1,1,0,0,3.82,583,364,1370,659,2
2,2,94,1,1,0,19,1,1,1,0,0,0,4.6,608,191,840,730,2
2,2,100,1,0,1,19,0,2,1,0,1,0,4.1,541,276,2074,854,2
2,1,188,0,1,1,19,1,1,1,0,1,0,4.66,837,235,1685,320,2
2,2,217,1,1,1,19,0,0,1,0,1,0,4.53,59,211,255,890,2
1,2,236,0,1,1,19,1,0,1,0,0,0,4.71,183,287,2249,351,2
2,2,237,1,1,1,19,0,1,1,1,1,1,4.58,545,223,415,568,2
2,2,238,1,1,1,19,0,0,1,0,1,1,4.67,179,61,1984,280,2
2,2,47,0,1,1,20,0,2,1,0,1,1,4.77,569,363,377,949,2
2,2,116,1,1,1,20,0,1,1,1,1,0,4.74,548,445,2224,133,2
2,2,214,1,0,0,20,0,1,1,1,0,0,4.15,799,78,2490,310,2
2,2,242,1,1,1,20,0,0,1,0,1,1,4.25,373,481,988,285,2
